All Incident Codes,Age Category
010100,2
010000010100010001,2
010000010001,2
000000,2
010000,2
000000000001,2
000000,2
010000000100,2
000100,2
010000,2
010000010000,2
010000,2
000000000000000101,2
000001,2
010100000000,2
000000,2
010000,2
010010,2
000100000100,2
010100010100,2
000100,2
000100,2
000000,2
010100,2
000000,2
000100,2
000100010100,2
000100000101,2
000100,2
000000,2
010000,2
000000010100000000,2
000100000101000101,2
000100000100,2
010000,2
000100,2
000100,2
110000100100000000010000010100010001,1
010000,2
110000,0
000100,2
000100,2
010000,2
010100010000010100010101,2
010000,2
010000,2
000000000100,2
000100,2
110000,0
010000,2
010000,2
010000,2
010100,2
010100,2
010100,2
010000010100,2
010000010100010000,2
010000,2
010000,2
010000,2
010100010100010100010101010001010001010101,2
010000,2
010010,2
010000000000,2
101100,0
010100,2
000100,2
100100,0
010000,2
010100,2
010100,2
010100,2
010100010100,2
000000,2
010100010001,2
010100010100000100,2
000000000000,2
010000,2
000100,2
100000,0
010000010000010000,2
010000000001,2
100000,0
000000010100,2
110100110010,0
000000000000000001000001000101,2
000000000100,2
000000000000,2
010000010000,2
100000110100110000110000000101000101,1
000000,2
000100011000000001,2
000000,2
000000,2
000000,2
000100,2
000000,2
010100010000,2
010100,2
010000010000010000000000010101,2
000100010100,2
000100,2
000000,2
100000010001,1
010100,2
000000,2
010000010100,2
010000010100010001010001000001,2
010100010100,2
010100010101,2
010000,2
010000,2
100100,0
010000,2
010000010000,2
000000010100,2
000100000000,2
010000,2
010000010001,2
010010,2
010000,2
010000,2
010000010100,2
010000,2
010000010000,2
100010,0
010100010000,2
010100000100,2
010100,2
000000000000,2
000000010000,2
010100,2
010000,2
100000100001110101,0
100000,0
100000110000110000,0
010000,2
010000,2
110000,0
110010,0
010100,2
010000,2
010000,2
010000,2
010100010100,2
010100,2
110100,0
010000,2
010000,2
010100,2
010000,2
010000,2
100000100000100000100000,0
010100010000000000,2
000100,2
000100,2
000000,2
010100,2
110100,0
010100010000,2
000000,2
000000010011,2
010010,2
000000,2
010000,2
010000,2
