,Charge,NW.Counts,SF.Counts,Description,Chapter,Section,Expungeable.,tempID,Reason not expungeable,Statute,Analysis notes
186,LARCENY BY CHECK OVER $250 c266 §37 & §30(1),90,357,LARCENY BY CHECK OVER $250,266,37 & §30(1),yes,186,not in the list of non-expungable offenses.,,
187,LARCENY BY CHECK UNDER $250 c266 §37 & §30(1),60,133,LARCENY BY CHECK UNDER $250,266,37 & §30(1),yes,187,not in the list of non-expungable offenses.,,
188,LARCENY BY CHECK OVER $1200 c266 §37 & §30(1),1,7,LARCENY BY CHECK OVER $1200,266,37 & §30(1),yes,188,not in the list of non-expungable offenses.,,
189,LARCENY BY CHECK UNDER $1200 c266 §37 & §30(1),0,1,LARCENY BY CHECK UNDER $1200,266,37 & §30(1),yes,189,not in the list of non-expungable offenses.,,
190,ASSOCIATION OFFICER EMBEZZLE +$250 c266 §58 & §30(1),0,6,ASSOCIATION OFFICER EMBEZZLE +$250,266,58 & §30(1),yes,190,not in the list of non-expungable offenses.,,
191,FALSE PRETENSE IN COMMER TRANSACTN +$250 c266 §33(1) & §30(1),0,9,FALSE PRETENSE IN COMMER TRANSACTN +$250,266,33(1) & §30(1),yes,191,not in the list of non-expungable offenses.,,
192,FALSE PRETENSE IN COMMER TRANSACTN -$250 c266 §33(1) & §30(1),0,1,FALSE PRETENSE IN COMMER TRANSACTN -$250,266,33(1) & §30(1),yes,192,not in the list of non-expungable offenses.,,
193,CREDIT +$250 BY FALSE FINANCIAL STATEMNT c266 §33(2) & §30(1),0,1,CREDIT +$250 BY FALSE FINANCIAL STATEMNT,266,33(2) & §30(1),yes,193,not in the list of non-expungable offenses.,,
194,ATTEMPTED LARCENY FROM +60/DISABLED c266 §30(5) & c274 §6,1,0,ATTEMPTED LARCENY FROM +60/DISABLED,266,30(5) & c274 §6,yes,194,not in the list of non-expungable offenses.,,
195,"ADMISSION TICKET, FORGE c267 §2",0,6,"ADMISSION TICKET, FORGE",267,2,yes,195,not in the list of non-expungable offenses.,,
196,MONEY LAUNDERING c267A §2,0,174,MONEY LAUNDERING,267A,2,yes,196,not in the list of non-expungable offenses.,,
197,"ADMISSION TICKET, UTTER FALSE c267 §6",0,6,"ADMISSION TICKET, UTTER FALSE",267,6,yes,197,not in the list of non-expungable offenses.,,
198,FORGERY OF BANK NOTE c267 §8,0,11,FORGERY OF BANK NOTE,267,8,yes,198,not in the list of non-expungable offenses.,,
199,"COUNTERFEIT NOTES, COMMON UTTERER OF c267 §11",0,3,"COUNTERFEIT NOTES, COMMON UTTERER OF",267,11,yes,199,not in the list of non-expungable offenses.,,
200,"COUNTERFEITING EQUIPMENT, POSSESS c267 §13",0,4,"COUNTERFEITING EQUIPMENT, POSSESS",267,13,yes,200,not in the list of non-expungable offenses.,,
201,"COUNTERFEITING EQUIPMENT, MANUFACTURE c267 §13",0,2,"COUNTERFEITING EQUIPMENT, MANUFACTURE",267,13,yes,201,not in the list of non-expungable offenses.,,
202,COUNTERFEIT COIN c267 §17,0,2,COUNTERFEIT COIN,267,17,yes,202,not in the list of non-expungable offenses.,,
203,MONEY LAUNDERING c267A §2(1),23,0,MONEY LAUNDERING,267A,2(1),yes,203,not in the list of non-expungable offenses.,,
204,"NOTES, POSSESS WORTHLESS/FALSE c267 §27",1,0,"NOTES, POSSESS WORTHLESS/FALSE",267,27,yes,204,not in the list of non-expungable offenses.,,
205,UTTER WORTHLESS/FALSE NOTE c267 §28,3,13,UTTER WORTHLESS/FALSE NOTE,267,28,yes,205,not in the list of non-expungable offenses.,,
206,"COUNTERFEIT NOTES, POSSESS 10 c267 §9",0,51,"COUNTERFEIT NOTES, POSSESS 10",267,10 c267 §9,yes,206,not in the list of non-expungable offenses.,,
207,"COUNTERFEIT COINS, POSSESS 10 c267 §17",0,1,"COUNTERFEIT COINS, POSSESS 10",267,10 c267 §17,yes,207,not in the list of non-expungable offenses.,,
208,FALSE STATEMENT UNDER PENALTY OF PERJURY c268 §1A,65,15,FALSE STATEMENT UNDER PENALTY OF PERJURY,268,1A,yes,208,not in the list of non-expungable offenses.,,
209,"PUBLIC EMPLOYEE, BRIBE c268A §2(a)",0,2,"PUBLIC EMPLOYEE, BRIBE",268A,2(a),yes,209,not in the list of non-expungable offenses.,,
210,PUBLIC EMPLOYEE ACCEPT/SOLICIT BRIBE c268A §2(b),0,42,PUBLIC EMPLOYEE ACCEPT/SOLICIT BRIBE,268A,2(b),yes,210,not in the list of non-expungable offenses.,,
211,PUBLIC EMPLOYEE ACCEPT/SOLICIT GIFT c268A §3(b),0,14,PUBLIC EMPLOYEE ACCEPT/SOLICIT GIFT,268A,3(b),yes,211,not in the list of non-expungable offenses.,,
212,"PUBLIC EMPLOYEE, FALSE REPORT BY c268 §6A",1,4,"PUBLIC EMPLOYEE, FALSE REPORT BY",268,6A,yes,212,not in the list of non-expungable offenses.,,
213,"RETURN BY PROCESS SERVER, FALSE c268 §6B",0,1,"RETURN BY PROCESS SERVER, FALSE",268,6B,yes,213,not in the list of non-expungable offenses.,,
214,"PUBLIC EMPLOYEE FIN STATEMENT, FALSE c268B §7",0,1,"PUBLIC EMPLOYEE FIN STATEMENT, FALSE",268B,7,yes,214,not in the list of non-expungable offenses.,,
215,"POLICE, MISLEADING c268 §13",0,6,"POLICE, MISLEADING",268,13,yes,215,not in the list of non-expungable offenses.,,
216,"JUROR, BRIBE c268 §13",0,4,"JUROR, BRIBE",268,13,yes,216,not in the list of non-expungable offenses.,,
217,"JUROR, ATTEMPT TO BRIBE c268 §13",0,2,"JUROR, ATTEMPT TO BRIBE",268,13,yes,217,not in the list of non-expungable offenses.,,
218,"PROSECUTOR, MISLEADING c268 §13",0,1,"PROSECUTOR, MISLEADING",268,13,yes,218,not in the list of non-expungable offenses.,,
219,"COURT/JUDGE/JUROR, PICKETING c268 §13A",0,1,"COURT/JUDGE/JUROR, PICKETING",268,13A,yes,219,not in the list of non-expungable offenses.,,
220,"WITNESS, INTIMIDATE c268 §13B",947,2654,"WITNESS, INTIMIDATE",268,13B,yes,220,not in the list of non-expungable offenses.,,
221,"WITNESS/JUROR/POLICE/COURT OFFICIAL, INTIMIDATE AGGRAVATED c268 §13B",2,0,"WITNESS/JUROR/POLICE/COURT OFFICIAL, INTIMIDATE AGGRAVATED",268,13B,yes,221,not in the list of non-expungable offenses.,,
222,"WITNESS/JUROR/POLICE/COURT OFF, INTIMIDATE c268 §13B",0,99,"WITNESS/JUROR/POLICE/COURT OFF, INTIMIDATE",268,13B,yes,222,not in the list of non-expungable offenses.,,
223,"JUROR, INTIMIDATE c268 §13B",0,5,"JUROR, INTIMIDATE",268,13B,yes,223,not in the list of non-expungable offenses.,,
224,"JUROR/WITNESS, INTIMIDATE OR RETALIATE c. 268 s. 13B",0,5,"JUROR/WITNESS, INTIMIDATE OR RETALIATE",268,13B,yes,224,not in the list of non-expungable offenses.,,
225,"WITNESS/JUROR/POLICE/COURT OFF, INTIMIDATE AGGRAVATED c268 §13B",0,4,"WITNESS/JUROR/POLICE/COURT OFF, INTIMIDATE AGGRAVATED",268,13B,yes,225,not in the list of non-expungable offenses.,,
226,"WITNESS, RETALIATE AGAINST c268 §13B",0,1,"WITNESS, RETALIATE AGAINST",268,13B,yes,226,not in the list of non-expungable offenses.,,
227,"WITNESS, INTIMIDATE c268 §13B-HABITUAL",2,0,"WITNESS, INTIMIDATE",268,13B-HABITUAL,yes,227,not in the list of non-expungable offenses.,,
228,"CRIMINAL PROCEEDING, WITHHOLD EVIDENCE FROM c268 §13E",0,48,"CRIMINAL PROCEEDING, WITHHOLD EVIDENCE FROM",268,13E,yes,228,not in the list of non-expungable offenses.,,
229,"Mislead a Police Officer, c268,s13B",38,0,"MISLEAD A POLICE OFFICER,","268,",13B,yes,229,not in the list of non-expungable offenses.,,
230,"COUNTY EMPLOYEE, CONFLICT OF INTEREST c. 268A s. 13",0,1,"COUNTY EMPLOYEE, CONFLICT OF INTEREST",268A,13,yes,230,not in the list of non-expungable offenses.,,
231,"JUROR, EMPLOYER DISCHARGE c268 §14A",1,0,"JUROR, EMPLOYER DISCHARGE",268,14A,yes,231,not in the list of non-expungable offenses.,,
232,"ESCAPE, VOLUNTARILY PERMIT PRISONER TO c268 §18",0,1,"ESCAPE, VOLUNTARILY PERMIT PRISONER TO",268,18,yes,232,not in the list of non-expungable offenses.,,
233,PRISON GUARD HAVE SEX RELATIONS W/PRISONER c268 §21A,0,3,PRISON GUARD HAVE SEX RELATIONS W/PRISONER,268,21A,yes,233,not in the list of non-expungable offenses.,,
234,"CORRECTIONAL INSTITUTION, DISTURB c268 §30",9,194,"CORRECTIONAL INSTITUTION, DISTURB",268,30,yes,234,not in the list of non-expungable offenses.,,
235,"PRISONER, DELIVER ARTICLE TO c268 §31",0,8,"PRISONER, DELIVER ARTICLE TO",268,31,yes,235,not in the list of non-expungable offenses.,,
236,"BADGE, USE WITHOUT AUTHORITY c268 §35",0,2,"BADGE, USE WITHOUT AUTHORITY",268,35,yes,236,not in the list of non-expungable offenses.,,
237,"MOTOR VEH THEFT, FALSE REPORT OF c268 §39",3,15,"MOTOR VEH THEFT, FALSE REPORT OF",268,39,yes,237,not in the list of non-expungable offenses.,,
238,"RIOT, OFFICIAL FAIL DISPERSE c269 §3",0,1,"RIOT, OFFICIAL FAIL DISPERSE",269,3,yes,238,not in the list of non-expungable offenses.,,
239,"FIREARM, CARRY WITHOUT LICENSE LOADED, 2ND OFF. c269 §10",0,46,"FIREARM, CARRY WITHOUT LICENSE LOADED, 2ND OFF.",269,10,no,239,,100J(a)19 - Ch 269 S10 a-d violation,
240,"CHEMICAL MACE WITHOUT FID CARD, POSSESS c269 §10",0,26,"CHEMICAL MACE WITHOUT FID CARD, POSSESS",269,10,no,240,,100J(a)19 - Ch 269 S10 a-d violation,
241,ARMED CAREER CRIMINAL c269 §10,0,1,ARMED CAREER CRIMINAL,269,10,no,241,,100J(a)19 - Ch 269 S10 a-d violation,
242,"FIREARM, CARRY WITHOUT LICENSE, 2ND OFF. c269 §10(a) & (d)",2,790,"FIREARM, CARRY WITHOUT LICENSE, 2ND OFF.",269,10(a) & (d),no,242,,100J(a)19 - Ch 269 S10 a-d violation,
243,"FIREARM, CARRY WITHOUT LICENSE, 3RD OFF. c269 §10(a) & (d)",1,106,"FIREARM, CARRY WITHOUT LICENSE, 3RD OFF.",269,10(a) & (d),no,243,,100J(a)19 - Ch 269 S10 a-d violation,
244,"FIREARM, CARRY WITHOUT LICENSE, 4TH OFF. c269 §10(a) & (d)",0,19,"FIREARM, CARRY WITHOUT LICENSE, 4TH OFF.",269,10(a) & (d),no,244,,100J(a)19 - Ch 269 S10 a-d violation,
245,"FIREARM, CARRY WITHOUT LICENSE LOADED, c269 §10(a)(n)",9,0,"FIREARM, CARRY WITHOUT LICENSE LOADED,",269,10(a)(n),no,245,,100J(a)19 - Ch 269 S10 a-d violation,
246,"DANGEROUS WEAPON, CARRY, 2ND OFF. c269 §10(b) & (d)",1,62,"DANGEROUS WEAPON, CARRY, 2ND OFF.",269,10(b) & (d),no,246,,100J(a)19 - Ch 269 S10 a-d violation,
247,"DANGEROUS WEAPON, CARRY, 4TH OFF. c269 §10(b) & (d)",0,24,"DANGEROUS WEAPON, CARRY, 4TH OFF.",269,10(b) & (d),no,247,,100J(a)19 - Ch 269 S10 a-d violation,
248,"DANGEROUS WEAPON, CARRY, 3RD OFF. c269 §10(b) & (d)",0,14,"DANGEROUS WEAPON, CARRY, 3RD OFF.",269,10(b) & (d),no,248,,100J(a)19 - Ch 269 S10 a-d violation,
249,"SHOTGUN, POSSESS SAWED-OFF, 2ND OFF. c269 §10(c) & (d)",0,19,"SHOTGUN, POSSESS SAWED-OFF, 2ND OFF.",269,10(c) & (d),no,249,,100J(a)19 - Ch 269 S10 a-d violation,
250,"SHOTGUN, POSSESS SAWED-OFF, 3RD OFF. c269 §10(c) & (d)",0,11,"SHOTGUN, POSSESS SAWED-OFF, 3RD OFF.",269,10(c) & (d),no,250,,100J(a)19 - Ch 269 S10 a-d violation,
251,"MACHINE GUN, POSSESS, 2ND OFF. c269 §10(c) & (d)",0,2,"MACHINE GUN, POSSESS, 2ND OFF.",269,10(c) & (d),no,251,,100J(a)19 - Ch 269 S10 a-d violation,
252,"MACHINE GUN, POSSESS LOADED, 4TH OFF c269 s10(c)(d)(n)",1,0,"MACHINE GUN, POSSESS LOADED, 4TH OFF",269,10(c)(d)(n),no,252,,100J(a)19 - Ch 269 S10 a-d violation,
253,"FIREARM WITHOUT FID CARD, POSSESS c269 §10(h)",33,1287,"FIREARM WITHOUT FID CARD, POSSESS",269,10(h),yes,253,1465 on Master Crime List offense with Expunge categories.xlsx from Sana,,
254,"FIREARM WITHOUT FID CARD, SUBSQ.OFF. c269 §10(h)",7,151,"FIREARM WITHOUT FID CARD, SUBSQ.OFF.",269,10(h),yes,254,1466 on Master Crime List offense with Expunge categories.xlsx from Sana,,
255,"AMMUNITION, POSSESS c269 §10(h)",0,1315,"AMMUNITION, POSSESS",269,10(h),yes,255,1465 on Master Crime List offense with Expunge categories.xlsx from Sana,,
256,"SHOTGUN, POSSESS c269 §10(h)",0,11,"SHOTGUN, POSSESS",269,10(h),yes,256,1465 on Master Crime List offense with Expunge categories.xlsx from Sana,,
257,"FIREARM W/O FID CARD, POSSESS c. 269 s. 10(h)",0,3,"FIREARM W/O FID CARD, POSSESS",269,10(h),yes,257,1465 on Master Crime List offense with Expunge categories.xlsx from Sana,,
258,"AMMUNITION, POSSESS WO FID CARD c269 §10/TT",0,1816,"AMMUNITION, POSSESS WO FID CARD",269,10/TT,m,258,"there is no 10/tt. Sana indicated it would not be expungable, as a violation of c269 s10(a). under 100Ja(19), which states, any offense in violation of paragraph (a), (b), (c) or (d) of section 10 of chapter 269. however, this pertains to firearms, not ammunition. ammunition is mentioned in paragraphs that are expungable. ",,analyze with and without
259,"AMMUNITION, POSSESS WO FID CARD, SUBSQ.OFF. c269 §10/TT",0,82,"AMMUNITION, POSSESS WO FID CARD, SUBSQ.OFF.",269,10/TT,m,259,"there is no 10/tt. Sana indicated it would not be expungable, as a violation of c269 s10(a). under 100Ja(19), which states, any offense in violation of paragraph (a), (b), (c) or (d) of section 10 of chapter 269. however, this pertains to firearms, not ammunition. ammunition is mentioned in paragraphs that are expungable. ",,analyze with and without
260,"SILENCER, SELL/USE/POSSESS FIREARM c269 §10A",2,6,"SILENCER, SELL/USE/POSSESS FIREARM",269,10A,no,260,,100J(a)19 - Ch 269 S10 a-d violation,
261,"TEAR GAS/MACE, USE IN CRIME c269 §10C",0,3,"TEAR GAS/MACE, USE IN CRIME",269,10C,yes,261,not in the list of non-expungable offenses. 10C is a different section from 10�,,
262,"FIREARM, CARRYING LOADED c269 §10EE",0,2035,"FIREARM, CARRYING LOADED",269,10EE,no,262,"there is no 10EE. Sana indicated it would not be expungable, as a violation of c269 s10(a). under 100Ja(19), which states, any offense in violation of paragraph (a), (b), (c) or (d) of section 10 of chapter 269. ",,analyze with and without
