,Charge,NW.Counts,SF.Counts,Description,Chapter,Section,Expungeable.,tempID,Reason not expungeable,Statute,Analysis notes
275,"HARMFUL SUBSTANCE, PEDDLE c270 §3",0,21,"HARMFUL SUBSTANCE, PEDDLE",270,3,yes,275,not in the list of non-expungable offenses.,,
276,"CIGARETTES TO MINOR, DELIVER c270 §6",0,1,"CIGARETTES TO MINOR, DELIVER",270,6,yes,276,not in the list of non-expungable offenses.,,
277,"ARSENIC TEST, FAIL FURNISH SAMPLE FOR c270 §11",0,1,"ARSENIC TEST, FAIL FURNISH SAMPLE FOR",270,11,yes,277,not in the list of non-expungable offenses.,,
278,"TRASH, LITTER c270 §16",25,29,"TRASH, LITTER",270,16,yes,278,not in the list of non-expungable offenses.,,
279,"TRASH, LITTER FROM MV c270 §16",25,32,"TRASH, LITTER FROM MV",270,16,yes,279,not in the list of non-expungable offenses.,,
280,"TRASH, DUMP FROM MV +7 CU FT c270 §16",9,2,"TRASH, DUMP FROM MV +7 CU FT",270,16,yes,280,not in the list of non-expungable offenses.,,
281,GAMING IN PUBLIC/TRESPASSING c271 §2,0,4,GAMING IN PUBLIC/TRESPASSING,271,2,yes,280,not in the list of non-expungable offenses.,,
282,"GAMING HOUSE, KEEP COMMON c271 §5",0,5,"GAMING HOUSE, KEEP COMMON",271,5,yes,280,not in the list of non-expungable offenses.,,
283,"LOTTERY, SET UP/PROMOTE c271 §7",0,5,"LOTTERY, SET UP/PROMOTE",271,7,yes,280,not in the list of non-expungable offenses.,,
284,"LOTTERY, SET UP/PROMOTE, SUBSQ.OFF. c271 §7",0,1,"LOTTERY, SET UP/PROMOTE, SUBSQ.OFF.",271,7,yes,280,not in the list of non-expungable offenses.,,
285,RAFFLE/BAZAAR VIOLATION c271 §7A,0,1,RAFFLE/BAZAAR VIOLATION,271,7A,yes,280,not in the list of non-expungable offenses.,,
286,"GAMING ENTERPRISE, MANAGE c271 §16A",0,3,"GAMING ENTERPRISE, MANAGE",271,16A,yes,280,not in the list of non-expungable offenses.,,
287,"BETTING, TAKE/ALLOW/PRESENT AT c271 §17",0,9,"BETTING, TAKE/ALLOW/PRESENT AT",271,17,yes,280,not in the list of non-expungable offenses.,,
288,"BETTING, TAKE/ALLOW/PRESENT AT,SUBSQ.OFF c271 §17",0,1,"BETTING, TAKE/ALLOW/PRESENT AT,SUBSQ.OFF",271,17,yes,280,not in the list of non-expungable offenses.,,
289,USURY c271 §49(a) or (b),0,14,USURY,271,49(a) or (b),yes,280,not in the list of non-expungable offenses.,,
290,"MARRIAGE, ABDUCT PERSON -16 FOR SECRET c. 272 s. 1",0,2,"MARRIAGE, ABDUCT PERSON -16 FOR SECRET",272,1,yes,290,not in the list of non-expungable offenses.,,
291,"PROSTITUTION, MAINTAIN HOUSE OF c272 §6",0,11,"PROSTITUTION, MAINTAIN HOUSE OF",272,6,yes,291,not in the list of non-expungable offenses.,,
292,"PROSTITUTION, KEEP HOUSE OF c272 §24",11,16,"PROSTITUTION, KEEP HOUSE OF",272,24,yes,292,not in the list of non-expungable offenses.,,
293,"RELIGIOUS SERVICE, DISTURB c272 §38",0,1,"RELIGIOUS SERVICE, DISTURB",272,38,yes,292,not in the list of non-expungable offenses.,,
294,"FUNERAL PROCESSION, DISTURB c272 §42",0,6,"FUNERAL PROCESSION, DISTURB",272,42,yes,292,not in the list of non-expungable offenses.,,
295,"FUNERAL SERVICE, DISTURB c272 §42A",0,1,"FUNERAL SERVICE, DISTURB",272,42A,yes,292,not in the list of non-expungable offenses.,,
296,SEXUAL CONDUCT FOR FEE c272 §53A,14,404,SEXUAL CONDUCT FOR FEE,272,53A,yes,292,not in the list of non-expungable offenses.,,
